package_type,distance_km,weight_kg,urgency,transport_mode,route_duration_hours,eta_hours,dataset_type
Pharmaceutical,491.71,59.94,Critical,Truck,9.96,9.48,synthetic
Industrial,162.02,5.2,High,Van,3.49,3.13,synthetic
Other,109.58,48.0,Low,Van,2.93,3.62,synthetic
Industrial,38.59,45.66,High,Van,0.95,1.01,synthetic
Pharmaceutical,78.04,22.84,Low,Van,2.08,3.1,synthetic
Pharmaceutical,299.78,20.62,Medium,Bike,12.93,15.21,synthetic
Documents,256.11,12.97,Medium,Truck,5.8,6.25,synthetic
Other,247.94,5.72,Low,Van,5.46,6.02,synthetic
Pharmaceutical,207.92,63.5,High,Truck,4.81,5.23,synthetic
Fragile,240.73,14.56,High,Truck,4.64,4.93,synthetic
Fragile,518.78,7.69,High,Truck,11.79,11.97,synthetic
Apparel,90.49,26.37,Critical,Van,2.11,1.88,synthetic
Documents,226.83,19.94,Medium,Truck,5.31,5.48,synthetic
Food,282.3,37.2,High,Truck,6.35,5.81,synthetic
Other,212.86,41.12,High,Bike,11.02,10.73,synthetic
Electronics,137.89,21.8,Critical,Van,3.57,3.11,synthetic
Apparel,288.25,3.84,Low,Train,4.08,4.96,synthetic
Apparel,52.26,51.49,Critical,Van,1.31,1.62,synthetic
Industrial,349.53,24.3,High,Truck,7.51,7.35,synthetic
Apparel,135.89,3.17,High,Van,3.72,3.82,synthetic
Documents,62.78,9.67,Medium,Van,1.67,1.9,synthetic
Pharmaceutical,276.1,13.42,Medium,Truck,5.34,6.18,synthetic
Pharmaceutical,204.0,37.22,High,Truck,4.25,4.51,synthetic
Pharmaceutical,226.4,19.99,High,Truck,5.08,5.06,synthetic
Fragile,184.89,17.56,Low,Train,3.07,4.21,synthetic
Industrial,328.58,13.67,High,Truck,6.86,6.02,synthetic
Apparel,529.98,110.85,High,Truck,11.83,11.76,synthetic
Pharmaceutical,150.16,119.22,Medium,Truck,3.08,3.79,synthetic
Fragile,49.75,18.06,Low,Van,1.12,1.5,synthetic
Fragile,212.47,74.75,Medium,Truck,4.97,5.65,synthetic
Other,236.98,414.62,Low,Truck,4.47,5.71,synthetic
Electronics,374.45,41.25,Low,Truck,8.1,9.65,synthetic
Food,207.83,3.74,Low,Truck,4.26,4.56,synthetic
Fragile,185.42,110.81,High,Truck,3.76,3.31,synthetic
Food,52.08,85.45,Low,Truck,1.17,1.61,synthetic
Electronics,261.0,63.77,Medium,Truck,5.56,5.66,synthetic
Food,227.53,83.83,Low,Truck,4.96,6.04,synthetic
Apparel,158.89,34.95,High,Van,4.2,4.09,synthetic
Other,142.14,28.38,High,Van,3.44,3.15,synthetic
Documents,421.01,46.7,High,Truck,10.0,10.18,synthetic
Fragile,204.27,103.7,Medium,Truck,4.66,5.05,synthetic
Fragile,126.16,23.07,Medium,Van,2.93,3.14,synthetic
Food,398.87,25.3,High,Bike,20.82,18.9,synthetic
Pharmaceutical,152.26,30.75,Medium,Van,3.62,4.12,synthetic
Apparel,296.11,83.9,High,Truck,6.81,6.03,synthetic
Food,89.32,196.64,Low,Truck,1.84,2.56,synthetic
Apparel,135.75,33.11,Medium,Van,3.35,3.66,synthetic
Food,200.81,19.6,Medium,Truck,4.09,4.65,synthetic
Industrial,137.85,13.56,Medium,Van,3.61,3.87,synthetic
Food,45.37,67.97,Medium,Van,1.18,0.75,synthetic
Documents,149.05,24.23,Low,Van,3.93,4.91,synthetic
Fragile,270.1,23.56,Medium,Truck,5.74,7.01,synthetic
Industrial,100.58,18.13,High,Van,2.38,2.6,synthetic
Other,421.52,7.84,Critical,Truck,9.15,7.69,synthetic
Pharmaceutical,57.15,17.88,Low,Van,1.49,2.68,synthetic
Food,205.26,25.15,High,Truck,3.91,3.44,synthetic
Pharmaceutical,444.46,87.71,High,Truck,10.4,10.89,synthetic
Industrial,537.8,36.78,High,Truck,12.67,11.66,synthetic
Other,598.34,220.99,Medium,Truck,13.95,15.22,synthetic
Electronics,245.58,40.45,Medium,Van,6.4,6.72,synthetic
Pharmaceutical,153.27,25.99,Low,Van,3.78,5.5,synthetic
Food,209.0,46.15,Medium,Truck,4.54,4.92,synthetic
Documents,248.72,17.75,High,Truck,5.09,5.65,synthetic
Other,75.07,8.56,Medium,Van,2.02,2.33,synthetic
Food,111.67,18.76,Low,Van,2.63,2.71,synthetic
Documents,309.47,32.13,Critical,Truck,5.94,4.38,synthetic
Industrial,427.19,3.3,Medium,Truck,8.16,8.94,synthetic
Pharmaceutical,36.92,52.72,High,Van,0.81,0.99,synthetic
Documents,95.76,57.89,Low,Van,2.53,2.87,synthetic
Industrial,553.61,22.78,Critical,Truck,12.11,9.7,synthetic
Fragile,527.64,39.7,Medium,Truck,10.96,12.97,synthetic
Food,181.74,15.89,Critical,Van,4.64,3.32,synthetic
Other,156.86,53.24,Medium,Van,3.63,3.8,synthetic
Documents,205.75,14.22,High,Truck,4.88,4.59,synthetic
Pharmaceutical,64.79,31.38,Medium,Van,1.64,1.45,synthetic
Electronics,174.63,63.46,High,Van,4.5,4.39,synthetic
Apparel,158.87,38.55,Medium,Van,3.83,4.32,synthetic
Industrial,98.76,8.35,Low,Van,2.32,3.11,synthetic
Apparel,54.84,20.88,High,Van,1.5,1.56,synthetic
Other,115.51,62.81,Medium,Van,2.96,3.72,synthetic
Other,146.76,12.19,Medium,Van,3.72,3.64,synthetic
Apparel,806.91,22.92,High,Truck,17.7,16.63,synthetic
Electronics,124.77,61.17,Low,Van,3.26,3.75,synthetic
Electronics,729.64,22.06,Medium,Truck,15.8,16.89,synthetic
Apparel,153.9,82.38,High,Bike,7.78,7.33,synthetic
Food,257.06,149.48,Medium,Truck,5.53,6.24,synthetic
Industrial,92.36,7.45,Low,Van,2.29,2.81,synthetic
Fragile,764.2,9.17,Low,Truck,16.06,20.97,synthetic
Fragile,233.57,7.31,Medium,Truck,4.47,5.54,synthetic
Pharmaceutical,112.17,31.21,High,Van,2.43,2.34,synthetic
Industrial,369.41,72.98,Low,Truck,8.11,9.7,synthetic
Electronics,122.49,166.76,Medium,Truck,2.88,3.04,synthetic
Pharmaceutical,451.92,11.1,Low,Truck,8.8,11.71,synthetic
Food,500.93,5.78,Medium,Truck,9.49,9.82,synthetic
Industrial,365.47,69.32,Medium,Bike,17.97,19.4,synthetic
Documents,445.95,19.45,High,Truck,9.27,8.87,synthetic
Other,178.69,7.66,Medium,Van,4.78,5.53,synthetic
Pharmaceutical,232.47,212.34,Critical,Truck,5.32,4.94,synthetic
Other,42.85,101.07,Medium,Truck,0.92,0.76,synthetic
Industrial,79.36,19.59,High,Van,1.87,1.14,synthetic
Pharmaceutical,362.07,33.62,High,Truck,7.74,7.86,synthetic
Electronics,265.83,51.25,High,Truck,5.51,5.85,synthetic
Apparel,145.56,6.54,Medium,Van,3.47,3.38,synthetic
Documents,29.22,7.44,Medium,Van,0.7,0.3,synthetic
Food,65.63,31.57,High,Van,1.58,1.38,synthetic
Electronics,329.8,5.7,High,Truck,7.37,6.71,synthetic
Fragile,328.29,45.13,High,Truck,6.72,6.72,synthetic
Other,514.56,9.83,Medium,Truck,11.04,11.59,synthetic
Other,105.42,75.84,Medium,Van,2.7,2.83,synthetic
Pharmaceutical,423.77,73.21,Low,Truck,8.4,11.16,synthetic
Industrial,341.33,11.44,Medium,Truck,7.57,7.97,synthetic
Other,184.33,17.68,Low,Van,5.02,5.71,synthetic
Food,332.02,21.98,High,Truck,7.54,6.88,synthetic
Electronics,72.12,7.84,Low,Van,1.63,1.92,synthetic
Documents,536.91,97.6,Low,Truck,11.88,14.93,synthetic
Fragile,150.3,54.06,Low,Van,3.7,5.02,synthetic
Documents,182.85,7.2,Medium,Van,4.49,4.89,synthetic
Food,115.14,25.96,High,Van,2.74,2.93,synthetic
Other,235.43,2.63,Medium,Truck,5.15,5.37,synthetic
Electronics,305.07,149.88,Medium,Truck,6.51,7.23,synthetic
Industrial,80.78,33.45,High,Van,1.96,1.48,synthetic
Pharmaceutical,99.44,13.45,High,Van,2.29,2.17,synthetic
Other,75.5,27.75,Medium,Van,1.72,2.36,synthetic
Industrial,153.45,7.48,High,Van,3.52,2.67,synthetic
Fragile,142.26,98.62,Critical,Truck,3.09,3.32,synthetic
Other,223.06,44.94,Low,Truck,4.59,5.44,synthetic
Documents,359.2,5.43,Critical,Truck,7.21,5.74,synthetic
Food,1091.34,21.46,Low,Truck,25.29,30.05,synthetic
Apparel,152.34,3.45,Low,Van,3.8,4.62,synthetic
Pharmaceutical,436.55,25.36,Medium,Truck,8.28,10.0,synthetic
Apparel,416.48,36.24,Medium,Truck,8.2,8.67,synthetic
Documents,102.33,239.23,Low,Truck,2.03,2.45,synthetic
Documents,404.56,9.73,Medium,Truck,9.69,10.32,synthetic
Other,185.73,13.79,Low,Van,5.08,5.66,synthetic
Pharmaceutical,280.67,252.75,Medium,Truck,6.0,7.18,synthetic
Documents,52.36,52.11,Critical,Van,1.2,0.86,synthetic
Other,79.86,43.08,Medium,Van,1.83,1.41,synthetic
Documents,243.48,22.71,Low,Truck,4.75,5.63,synthetic
Industrial,410.59,6.09,Medium,Truck,8.64,9.46,synthetic
Electronics,184.35,5.37,Medium,Van,4.72,4.81,synthetic
Other,115.14,169.68,High,Truck,2.74,2.5,synthetic
Industrial,89.13,109.55,High,Truck,1.89,1.75,synthetic
Fragile,27.92,30.74,Critical,Van,0.71,1.0,synthetic
Documents,432.46,18.38,High,Truck,9.0,8.24,synthetic
Pharmaceutical,209.34,66.07,Medium,Truck,4.87,6.3,synthetic
Documents,203.84,95.88,Low,Truck,4.36,5.85,synthetic
Electronics,131.96,122.67,Low,Truck,2.66,3.1,synthetic
Other,178.54,11.81,Medium,Van,4.51,5.06,synthetic
Other,357.43,18.1,Medium,Train,5.75,6.29,synthetic
Other,1113.75,121.88,Medium,Truck,23.12,24.93,synthetic
Industrial,98.42,23.28,Medium,Van,2.15,2.18,synthetic
Pharmaceutical,114.07,16.85,Critical,Van,2.9,2.48,synthetic
Apparel,105.89,10.53,Medium,Van,2.54,2.29,synthetic
Fragile,196.88,2.8,Critical,Van,5.06,4.81,synthetic
Other,499.82,533.84,Low,Truck,10.7,14.31,synthetic
Food,195.46,12.03,High,Van,4.23,3.66,synthetic
Fragile,47.03,4.95,Critical,Van,1.11,1.16,synthetic
Industrial,382.11,56.15,Critical,Truck,7.28,6.11,synthetic
Other,235.87,99.3,Medium,Truck,5.31,5.58,synthetic
Pharmaceutical,544.56,4.98,Medium,Truck,11.51,13.15,synthetic
Food,60.89,50.14,Medium,Van,1.62,1.56,synthetic
Electronics,177.45,157.09,High,Truck,4.1,3.9,synthetic
Apparel,165.96,11.9,Medium,Van,3.98,4.1,synthetic
Food,161.41,24.33,Low,Van,4.23,4.86,synthetic
Pharmaceutical,411.19,8.07,High,Air,0.7,0.47,synthetic
Food,81.15,14.82,Medium,Van,1.78,1.26,synthetic
Apparel,46.32,15.01,Medium,Train,0.69,0.68,synthetic
Fragile,221.33,12.04,Medium,Truck,4.63,6.06,synthetic
Other,424.19,12.53,Low,Truck,8.65,10.19,synthetic
Documents,336.42,17.53,Medium,Truck,7.33,7.97,synthetic
Pharmaceutical,163.7,23.02,Critical,Van,4.04,2.85,synthetic
Fragile,189.56,156.35,Medium,Train,3.1,3.75,synthetic
Documents,164.32,7.4,High,Van,3.84,3.68,synthetic
Food,167.32,42.97,Medium,Van,3.77,3.77,synthetic
Other,131.94,5.64,Medium,Van,3.52,3.59,synthetic
Electronics,306.01,53.08,Medium,Truck,6.01,6.17,synthetic
Documents,183.78,10.33,Low,Van,4.15,4.32,synthetic
Apparel,130.05,9.77,Critical,Van,2.81,2.79,synthetic
Apparel,383.81,3.35,Low,Truck,8.18,8.72,synthetic
Fragile,109.59,18.33,Medium,Van,2.38,2.78,synthetic
Apparel,259.91,6.67,Critical,Truck,5.33,4.15,synthetic
Other,996.59,15.84,Low,Truck,23.64,28.18,synthetic
Pharmaceutical,137.1,18.26,High,Van,3.13,2.86,synthetic
Apparel,648.36,18.67,Medium,Truck,12.44,13.33,synthetic
Food,148.04,14.7,Medium,Van,3.67,3.59,synthetic
Fragile,71.7,145.03,Medium,Truck,1.53,1.68,synthetic
Other,517.95,90.88,High,Truck,10.78,9.83,synthetic
Apparel,81.25,15.16,Critical,Van,2.04,1.66,synthetic
Apparel,120.35,5.28,Medium,Van,2.67,3.19,synthetic
Fragile,653.22,3.67,Low,Truck,14.04,18.45,synthetic
Pharmaceutical,290.99,174.8,Medium,Truck,6.95,8.11,synthetic
Apparel,508.39,10.42,High,Truck,11.52,10.57,synthetic
Other,146.23,50.74,High,Van,3.82,3.8,synthetic
Apparel,103.67,47.46,Medium,Van,2.78,2.79,synthetic
Documents,535.19,64.86,Medium,Truck,11.83,13.07,synthetic
Other,116.42,192.38,Critical,Truck,2.61,1.74,synthetic
Fragile,185.09,18.35,Medium,Van,4.75,5.34,synthetic
Fragile,76.39,135.99,Critical,Truck,1.68,1.18,synthetic
Documents,83.63,3.53,Medium,Van,1.97,1.85,synthetic
Food,139.38,36.28,Medium,Van,3.43,3.46,synthetic
Fragile,237.25,4.38,Medium,Truck,5.62,6.99,synthetic
Fragile,278.13,51.32,Low,Truck,6.24,8.06,synthetic
Documents,231.53,14.76,Medium,Truck,5.06,5.42,synthetic
Other,124.2,23.09,Low,Van,3.33,3.9,synthetic
Pharmaceutical,380.46,33.13,High,Truck,8.6,8.03,synthetic
Pharmaceutical,69.06,18.91,Critical,Van,1.67,1.14,synthetic
Documents,231.19,13.85,Low,Truck,4.34,5.76,synthetic
Documents,304.9,22.97,Medium,Truck,6.6,6.03,synthetic
Documents,441.73,94.94,Critical,Truck,9.48,8.58,synthetic
Documents,135.14,24.84,High,Van,3.06,3.62,synthetic
Apparel,179.9,5.9,Low,Van,4.8,5.58,synthetic
Documents,200.9,5.02,Low,Truck,4.17,5.33,synthetic
Industrial,164.79,6.47,Medium,Van,3.89,3.92,synthetic
Documents,54.91,19.03,Medium,Van,1.31,1.3,synthetic
Electronics,165.97,7.9,Low,Van,4.36,4.78,synthetic
Fragile,350.36,22.16,Medium,Truck,7.12,8.28,synthetic
Other,87.93,4.92,High,Van,1.94,1.53,synthetic
Pharmaceutical,308.49,7.94,High,Truck,7.0,8.04,synthetic
Pharmaceutical,119.7,52.12,Medium,Van,2.97,3.24,synthetic
Food,143.61,5.84,High,Van,3.28,2.95,synthetic
Pharmaceutical,177.48,8.35,Medium,Train,2.49,3.0,synthetic
Apparel,320.26,27.86,Medium,Truck,6.98,7.22,synthetic
Documents,158.42,22.2,High,Van,3.61,3.14,synthetic
Fragile,199.41,91.79,Medium,Truck,4.04,5.32,synthetic
Other,662.22,69.85,Medium,Truck,14.71,15.65,synthetic
Apparel,280.02,11.11,Medium,Truck,5.59,6.49,synthetic
Pharmaceutical,502.93,34.13,Medium,Truck,11.66,14.65,synthetic
Electronics,209.86,117.64,Medium,Truck,4.55,5.39,synthetic
Documents,263.1,214.04,Medium,Truck,6.24,6.64,synthetic
Other,77.06,7.41,Low,Van,2.02,2.64,synthetic
Documents,125.28,35.53,High,Truck,2.68,2.72,synthetic
Electronics,87.27,26.67,High,Van,2.38,1.89,synthetic
Industrial,156.73,10.62,Medium,Van,3.69,3.33,synthetic
Documents,65.48,12.59,Medium,Van,1.61,1.75,synthetic
Food,510.04,41.97,Medium,Truck,9.91,10.54,synthetic
Apparel,310.18,25.69,High,Truck,6.8,6.35,synthetic
Industrial,258.43,20.12,Medium,Truck,5.54,5.7,synthetic
Other,267.63,9.95,High,Truck,6.02,5.59,synthetic
Industrial,40.18,225.9,Low,Truck,0.78,1.16,synthetic
Industrial,364.37,43.42,Low,Truck,7.41,9.5,synthetic
Documents,51.21,433.64,Low,Truck,1.06,1.37,synthetic
Pharmaceutical,280.91,18.57,High,Truck,6.47,7.02,synthetic
Food,170.73,38.54,Critical,Van,4.27,3.4,synthetic
Fragile,36.78,46.91,Critical,Truck,0.78,0.84,synthetic
Other,164.91,64.28,Low,Van,3.56,4.01,synthetic
Industrial,325.87,23.42,Low,Truck,6.72,8.25,synthetic
Fragile,431.73,5.81,Low,Truck,8.98,12.01,synthetic
Other,71.48,45.91,High,Van,1.6,1.44,synthetic
Electronics,272.5,45.49,Critical,Truck,5.38,4.86,synthetic
Other,63.69,21.62,Medium,Van,1.74,1.71,synthetic
Documents,203.6,4.01,Critical,Truck,4.75,4.08,synthetic
Documents,103.44,10.51,Medium,Van,2.29,2.47,synthetic
Electronics,141.74,387.03,Medium,Truck,2.79,4.3,synthetic
Food,68.99,61.99,Critical,Train,1.06,0.73,synthetic
Documents,269.48,71.54,High,Truck,5.44,5.29,synthetic
Fragile,639.8,62.52,Critical,Truck,15.0,14.0,synthetic
Electronics,170.2,31.29,Medium,Van,3.94,4.17,synthetic
Electronics,203.77,5.45,Medium,Truck,4.1,4.28,synthetic
Documents,128.78,134.08,Low,Truck,2.74,3.29,synthetic
Pharmaceutical,158.67,35.58,Low,Van,4.13,5.57,synthetic
Industrial,117.52,53.58,High,Van,3.07,2.67,synthetic
Other,91.99,11.37,Medium,Van,2.27,2.32,synthetic
Other,324.75,62.27,Low,Truck,6.69,8.02,synthetic
Industrial,447.17,56.9,Low,Truck,8.68,10.26,synthetic
Other,205.28,15.53,Medium,Truck,4.64,4.34,synthetic
Other,98.23,50.19,Medium,Van,2.29,2.37,synthetic
Other,196.35,6.12,Medium,Van,4.9,5.47,synthetic
Pharmaceutical,82.61,11.64,High,Van,2.18,2.84,synthetic
Pharmaceutical,656.17,17.84,Critical,Truck,12.98,12.11,synthetic
Industrial,251.31,5.79,High,Truck,5.5,4.89,synthetic
Food,130.07,8.48,High,Van,2.79,2.47,synthetic
Other,480.1,7.8,Medium,Truck,11.05,12.02,synthetic
Documents,267.35,38.99,Low,Truck,5.53,6.36,synthetic
Apparel,252.19,45.74,Medium,Truck,5.98,6.5,synthetic
Food,119.95,264.58,High,Truck,2.55,2.87,synthetic
Industrial,434.56,25.71,Critical,Truck,8.56,6.91,synthetic
Documents,118.59,77.97,Medium,Van,2.87,2.99,synthetic
Food,219.03,19.16,Medium,Truck,4.68,4.96,synthetic
Fragile,119.2,13.32,High,Van,2.57,2.5,synthetic
Electronics,108.71,18.03,Critical,Van,2.54,2.1,synthetic
Documents,129.25,24.11,High,Van,2.91,2.37,synthetic
Other,82.3,122.77,High,Truck,1.79,2.18,synthetic
Fragile,132.03,7.84,Medium,Van,3.23,4.68,synthetic
Food,162.43,106.66,Medium,Truck,3.44,3.52,synthetic
Industrial,76.63,51.1,Low,Van,1.82,2.36,synthetic
Industrial,141.97,44.06,Low,Van,3.85,4.55,synthetic
Documents,188.67,30.59,High,Van,4.47,4.01,synthetic
Apparel,122.17,15.69,Medium,Air,0.18,0.3,synthetic
Apparel,250.64,108.23,High,Truck,5.9,5.76,synthetic
Other,98.17,19.58,Medium,Van,2.27,1.74,synthetic
Documents,172.67,10.25,Medium,Van,4.63,5.25,synthetic
Food,295.13,30.68,High,Truck,5.55,4.7,synthetic
Fragile,236.84,5.6,Low,Truck,5.49,7.46,synthetic
Other,106.17,25.02,High,Van,2.91,2.17,synthetic
Apparel,149.73,3.06,Medium,Van,3.76,4.03,synthetic
Food,95.76,14.62,Medium,Van,2.62,2.3,synthetic
Documents,147.57,6.11,Medium,Van,3.22,3.58,synthetic
Fragile,209.49,5.0,Critical,Truck,4.38,3.97,synthetic
Pharmaceutical,466.77,120.17,Medium,Truck,9.53,10.71,synthetic
Pharmaceutical,195.97,10.81,Low,Bike,10.03,13.46,synthetic
Other,167.9,81.29,High,Truck,3.65,3.81,synthetic
Industrial,83.59,56.81,Medium,Van,1.81,2.04,synthetic
Documents,121.21,12.09,Medium,Van,2.64,2.73,synthetic
Other,197.18,40.03,High,Van,4.48,4.2,synthetic
Electronics,235.92,12.24,High,Truck,5.64,5.43,synthetic
Pharmaceutical,205.74,1.8,Critical,Truck,4.25,3.86,synthetic
Industrial,137.75,35.59,Critical,Van,3.34,2.68,synthetic
Fragile,71.34,19.59,Medium,Van,1.95,1.92,synthetic
Fragile,211.43,13.95,Critical,Truck,4.71,3.57,synthetic
Food,174.47,31.61,Medium,Van,4.0,3.94,synthetic
Apparel,357.47,6.46,High,Truck,7.69,7.42,synthetic
Apparel,315.38,20.3,High,Truck,6.67,5.24,synthetic
Apparel,252.86,13.77,Medium,Truck,5.1,5.52,synthetic
Industrial,603.72,17.31,Medium,Truck,11.94,13.12,synthetic
Apparel,1606.31,35.08,Medium,Truck,32.34,33.86,synthetic
Documents,136.75,12.86,Low,Van,3.13,3.8,synthetic
Fragile,252.08,33.22,High,Truck,5.39,5.83,synthetic
Food,203.14,19.25,High,Truck,4.38,4.18,synthetic
Documents,102.98,16.62,High,Van,2.73,2.29,synthetic
Apparel,439.73,45.14,Critical,Truck,9.54,7.7,synthetic
Industrial,158.4,21.92,Medium,Air,0.28,0.3,synthetic
Apparel,289.15,3.44,High,Truck,6.86,6.56,synthetic
Other,79.08,215.73,Medium,Truck,1.77,1.98,synthetic
Electronics,72.91,24.16,Medium,Van,1.86,2.29,synthetic
Apparel,64.23,62.59,Medium,Van,1.44,1.8,synthetic
Pharmaceutical,660.81,24.07,High,Truck,13.32,14.21,synthetic
Industrial,61.47,11.63,High,Van,1.57,1.36,synthetic
Industrial,150.41,20.44,Critical,Van,3.85,3.17,synthetic
Apparel,55.65,19.92,Medium,Van,1.51,0.95,synthetic
Industrial,354.98,23.39,Medium,Truck,7.04,7.28,synthetic
Industrial,141.48,63.14,Low,Van,3.61,4.47,synthetic
Food,474.44,21.03,High,Truck,10.73,9.38,synthetic
Industrial,173.1,49.23,Critical,Van,3.82,3.02,synthetic
Documents,104.33,66.13,Medium,Van,2.76,2.74,synthetic
Fragile,165.18,11.43,Medium,Van,3.78,4.53,synthetic
Documents,118.64,25.26,High,Van,3.07,2.39,synthetic
Industrial,116.94,15.75,Low,Van,2.53,3.18,synthetic
Other,107.52,4.61,Low,Van,2.8,3.4,synthetic
Apparel,215.46,14.63,Critical,Truck,4.84,4.26,synthetic
Industrial,413.87,14.25,Medium,Truck,8.91,9.31,synthetic
Apparel,146.74,27.12,Low,Van,3.65,3.93,synthetic
Pharmaceutical,122.16,76.29,Medium,Van,3.1,3.45,synthetic
Other,452.32,84.19,Low,Truck,9.33,10.74,synthetic
Electronics,42.68,17.23,Medium,Van,1.14,1.72,synthetic
Electronics,84.86,17.78,Critical,Van,2.23,1.5,synthetic
Documents,385.64,15.18,Low,Air,0.67,0.58,synthetic
Documents,246.61,1.62,Low,Truck,4.9,6.0,synthetic
Fragile,79.94,11.5,Medium,Van,2.04,2.47,synthetic
Fragile,225.43,17.97,Medium,Truck,5.29,6.05,synthetic
Fragile,199.02,8.6,High,Van,5.07,5.73,synthetic
Food,65.95,32.14,Low,Van,1.68,1.81,synthetic
Apparel,380.38,22.17,Low,Truck,7.31,8.28,synthetic
Food,218.62,19.91,Low,Truck,5.12,5.68,synthetic
Industrial,155.4,47.31,Critical,Van,4.16,3.28,synthetic
Food,136.33,89.0,High,Truck,3.03,2.52,synthetic
Other,98.63,45.54,Low,Van,2.19,2.13,synthetic
Electronics,75.01,37.76,Critical,Van,1.62,1.5,synthetic
Electronics,91.57,53.86,High,Van,2.28,2.35,synthetic
Fragile,480.57,24.99,High,Truck,10.92,11.87,synthetic
Industrial,180.23,51.44,Medium,Van,4.88,5.02,synthetic
Food,220.84,45.05,Medium,Truck,4.82,4.65,synthetic
Electronics,219.6,19.12,Medium,Train,3.4,3.32,synthetic
Pharmaceutical,363.77,46.26,Low,Truck,8.41,11.43,synthetic
Food,798.51,3.81,Medium,Truck,17.85,18.82,synthetic
Other,153.88,75.97,High,Van,3.84,3.22,synthetic
Food,175.21,20.45,High,Van,4.32,3.97,synthetic
Apparel,158.14,23.89,Critical,Van,3.51,3.14,synthetic
Documents,102.62,56.54,Medium,Van,2.5,2.67,synthetic
Food,80.81,4.84,Medium,Van,2.03,1.65,synthetic
Industrial,129.57,16.03,Low,Van,3.13,3.45,synthetic
Fragile,316.47,19.35,Medium,Truck,6.01,7.39,synthetic
Food,107.77,55.45,Medium,Van,2.42,2.18,synthetic
Documents,275.0,18.39,High,Truck,6.36,5.49,synthetic
Apparel,196.86,46.61,Medium,Van,4.37,5.02,synthetic
Fragile,56.12,16.65,Medium,Van,1.33,1.29,synthetic
Other,124.43,4.05,Low,Van,3.18,4.14,synthetic
Industrial,124.14,35.85,Medium,Van,3.27,3.43,synthetic
Documents,208.6,20.97,Medium,Truck,4.22,4.46,synthetic
Food,443.38,5.1,Medium,Truck,8.9,9.47,synthetic
Electronics,164.4,35.45,Low,Van,4.39,4.45,synthetic
Pharmaceutical,762.36,7.38,Critical,Truck,15.66,14.34,synthetic
Fragile,552.55,26.66,Medium,Truck,12.34,14.82,synthetic
Fragile,165.36,164.46,Medium,Truck,3.61,4.56,synthetic
Electronics,182.21,9.6,Critical,Van,4.33,3.53,synthetic
Documents,170.2,16.37,High,Van,4.59,5.16,synthetic
Food,127.23,231.49,High,Truck,3.0,2.97,synthetic
Fragile,430.71,93.45,Medium,Truck,8.13,9.08,synthetic
Pharmaceutical,159.1,3.84,Medium,Van,3.73,4.44,synthetic
Apparel,100.01,87.37,Critical,Truck,2.19,2.37,synthetic
Documents,64.98,55.74,Critical,Van,1.51,1.47,synthetic
Documents,344.02,31.07,Medium,Truck,7.7,8.24,synthetic
Documents,327.0,4.1,High,Truck,7.17,6.7,synthetic
Other,130.08,28.22,Low,Van,3.08,3.47,synthetic
Documents,91.49,82.35,Critical,Truck,1.79,1.8,synthetic
Other,267.41,17.34,Medium,Truck,6.03,6.8,synthetic
Documents,136.23,8.59,Medium,Van,2.99,3.26,synthetic
Industrial,244.19,7.43,Critical,Truck,4.83,4.53,synthetic
Pharmaceutical,208.12,258.18,Medium,Truck,4.19,5.68,synthetic
Apparel,1028.76,10.96,Medium,Truck,21.82,22.54,synthetic
Food,374.35,48.22,Medium,Truck,8.8,9.76,synthetic
Food,373.7,51.86,Medium,Truck,7.02,7.0,synthetic
Pharmaceutical,124.68,24.1,High,Van,3.19,3.25,synthetic
Food,462.27,23.24,Medium,Truck,10.33,11.26,synthetic
Industrial,167.78,55.03,Critical,Van,3.9,3.49,synthetic
Fragile,83.26,5.54,Critical,Van,1.8,1.98,synthetic
Fragile,103.9,109.59,Low,Truck,2.33,3.6,synthetic
Industrial,102.35,19.47,Medium,Van,2.55,2.91,synthetic
Pharmaceutical,86.95,51.61,High,Van,2.24,2.53,synthetic
Electronics,359.94,5.95,High,Truck,7.92,7.21,synthetic
Fragile,282.61,37.77,Low,Truck,6.49,9.02,synthetic
Fragile,158.29,3.61,High,Van,3.54,3.58,synthetic
Fragile,549.62,6.88,Critical,Truck,13.11,12.44,synthetic
Apparel,69.86,15.6,Medium,Van,1.58,1.55,synthetic
Pharmaceutical,254.59,6.29,High,Truck,5.32,5.42,synthetic
Industrial,58.59,38.86,Medium,Van,1.39,1.05,synthetic
Food,85.72,50.75,Medium,Van,2.06,2.78,synthetic
Documents,393.15,12.25,Low,Truck,9.38,10.74,synthetic
Industrial,234.55,3.77,Medium,Truck,5.54,6.27,synthetic
Apparel,191.15,8.95,High,Van,4.67,4.25,synthetic
Electronics,89.71,5.94,Medium,Van,2.38,2.12,synthetic
Documents,75.36,12.42,Medium,Van,1.77,2.18,synthetic
Documents,271.33,5.52,High,Truck,5.1,4.85,synthetic
Food,191.49,20.49,High,Van,5.01,4.71,synthetic
Other,208.27,6.71,Low,Truck,4.35,5.66,synthetic
Pharmaceutical,212.1,7.03,Medium,Truck,4.15,4.65,synthetic
Documents,125.35,103.84,Low,Truck,2.78,3.55,synthetic
Documents,219.67,4.44,High,Truck,4.69,4.37,synthetic
Other,217.33,106.81,Medium,Truck,4.98,5.58,synthetic
